Orginal File Name:,DP-JTT-2018_1_3_1657.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36,IP: ::1,Time:,2018_1_3_1657,Parameter File:,None:FromPsyToolkit,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right] 
trial_number,trial_type,event_code,absolute_time,response_time,response,result
50,01010001,6,161.532,NaN,NA,NA,
50,01010001,7,162.41,0.877,1,2,
50,01010001,8,162.41,NaN,NA,NA,
50,01000110,2,165.436,NaN,NA,NA,
51,01000110,3,165.436,NaN,NA,NA,
51,01000110,4,166.437,NaN,NA,NA,
51,01000110,5,166.641,NaN,NA,19430.bmp,A284.bmp,
51,01000110,6,167.144,NaN,NA,NA,
51,01000110,7,167.746,0.601,-1,1,
51,01110110,2,167.76500000000001,NaN,NA,NA,
52,01110110,3,167.76500000000001,NaN,NA,NA,
52,01110110,4,168.76500000000001,NaN,NA,NA,
52,01110110,5,168.969,NaN,NA,19322.bmp,A260.bmp,
52,01110110,6,169.472,NaN,NA,NA,
52,01110110,7,170.217,0.744,1,1,
52,01111000,2,170.235,NaN,NA,NA,
53,01111000,3,170.235,NaN,NA,NA,
53,01111000,4,171.237,NaN,NA,NA,
53,01111000,5,171.44,NaN,NA,19500.bmp,A292.bmp,
53,01111000,6,172.443,NaN,NA,NA,
53,01111000,7,173.012,0.5680000000000001,1,1,
53,10111101,2,173.03,NaN,NA,NA,
54,10111101,3,173.03,NaN,NA,NA,
54,10111101,4,174.031,NaN,NA,NA,
54,10111101,5,174.236,NaN,NA,21620.bmp,A342.bmp,
54,10111101,6,175.24,NaN,NA,NA,
54,10111101,7,175.879,0.637,1,1,
54,10001000,2,175.897,NaN,NA,NA,
55,10001000,3,175.897,NaN,NA,NA,
55,10001000,4,176.9,NaN,NA,NA,
55,10001000,5,177.101,NaN,NA,28210.bmp,A84.bmp,
55,10001000,6,178.102,NaN,NA,NA,
55,10001000,7,178.68200000000002,0.577,-1,1,
55,10010111,2,178.70000000000002,NaN,NA,NA,
56,10010111,3,178.70000000000002,NaN,NA,NA,
56,10010111,4,179.702,NaN,NA,NA,
56,10010111,5,179.90800000000002,NaN,NA,28300.bmp,A88.bmp,
56,10010111,6,180.411,NaN,NA,NA,
56,10010111,7,181.044,0.632,1,1,
56,10011101,2,181.064,NaN,NA,NA,
57,10011101,3,181.064,NaN,NA,NA,
57,10011101,4,182.06900000000002,NaN,NA,NA,
57,10011101,5,182.275,NaN,NA,21460.bmp,A334.bmp,
57,10011101,6,183.28,NaN,NA,NA,
57,10011101,7,184.187,0.906,1,1,
57,01010101,2,184.20600000000002,NaN,NA,NA,
58,01010101,3,184.20600000000002,NaN,NA,NA,
58,01010101,4,185.211,NaN,NA,NA,
58,01010101,5,185.416,NaN,NA,19425.bmp,A28.bmp,
58,01010101,6,185.92000000000002,NaN,NA,NA,
58,01010101,7,186.595,0.674,1,1,
58,10011011,2,186.613,NaN,NA,NA,
59,10011011,3,186.613,NaN,NA,NA,
59,10011011,4,187.616,NaN,NA,NA,
59,10011011,5,187.81900000000002,NaN,NA,28490.bmp,A90.bmp,
59,10011011,6,188.82,NaN,NA,NA,
59,10011011,7,189.553,0.732,1,1,
59,01001000,2,189.573,NaN,NA,NA,
60,01001000,3,189.573,NaN,NA,NA,
60,01001000,4,190.578,NaN,NA,NA,
60,01001000,5,190.781,NaN,NA,12730.bmp,A218.bmp,
60,01001000,6,191.78300000000002,NaN,NA,NA,
60,01001000,7,192.494,0.709,-1,1,
60,10010100,2,192.512,NaN,NA,NA,
61,10010100,3,192.512,NaN,NA,NA,
61,10010100,4,193.517,NaN,NA,NA,
61,10010100,5,193.719,NaN,NA,21601.bmp,A34.bmp,
61,10010100,6,194.22,NaN,NA,NA,
61,10010100,7,194.824,0.603,1,1,
61,01011011,2,194.84300000000002,NaN,NA,NA,
62,01011011,3,194.84300000000002,NaN,NA,NA,
62,01011011,4,195.848,NaN,NA,NA,
62,01011011,5,196.05,NaN,NA,19425.bmp,A28.bmp,
62,01011011,6,197.052,NaN,NA,NA,
62,01011011,7,197.768,0.715,1,1,
62,10101110,2,197.787,NaN,NA,NA,
63,10101110,3,197.787,NaN,NA,NA,
63,10101110,4,198.792,NaN,NA,NA,
63,10101110,5,198.998,NaN,NA,27286.bmp,A50.bmp,
63,10101110,6,199.999,NaN,NA,NA,
63,10101110,7,200.584,0.584,-1,1,
63,00100100,2,200.602,NaN,NA,NA,
64,00100100,3,200.602,NaN,NA,NA,
64,00100100,4,201.603,NaN,NA,NA,
64,00100100,5,201.809,NaN,NA,02487.bmp,A126.bmp,
64,00100100,6,202.311,NaN,NA,NA,
64,00100100,7,203.073,0.761,-1,1,
64,10100101,9,203.077,NaN,NA,NA,
64,10100101,9,203.077,5.767,0,NA,
64,10100101,2,208.856,NaN,NA,NA,
65,10100101,3,208.856,NaN,NA,NA,
65,10100101,4,209.86100000000002,NaN,NA,NA,
65,10100101,5,210.066,NaN,NA,27260.bmp,A42.bmp,
65,10100101,6,210.571,NaN,NA,NA,
65,10100101,7,211.912,1.34,-1,1,
65,01110101,2,211.93,NaN,NA,NA,
66,01110101,3,211.93,NaN,NA,NA,
66,01110101,4,212.931,NaN,NA,NA,
66,01110101,5,213.135,NaN,NA,13180.bmp,A224.bmp,
66,01110101,6,213.641,NaN,NA,NA,
66,01110101,7,214.139,0.497,1,1,
66,01111010,2,214.15800000000002,NaN,NA,NA,
67,01111010,3,214.15800000000002,NaN,NA,NA,
67,01111010,4,215.159,NaN,NA,NA,
67,01111010,5,215.359,NaN,NA,16315.bmp,A232.bmp,
67,01111010,6,216.363,NaN,NA,NA,
67,01111010,7,216.894,0.529,1,1,
67,01010101,2,216.912,NaN,NA,NA,
68,01010101,3,216.912,NaN,NA,NA,
68,01010101,4,217.917,NaN,NA,NA,
68,01010101,5,218.118,NaN,NA,19006.bmp,A238.bmp,
68,01010101,6,218.624,NaN,NA,NA,
68,01010101,7,219.169,0.544,1,1,
68,01001101,2,219.18800000000002,NaN,NA,NA,
