Orginal File Name:,DP-NULL-2018_0_1_1911.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36,Time:,2018_0_1_1911,Parameter File:,None:FromPsyToolkit,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right] 
trial_number,trial_type,event_code,absolute_time,response_time,response,result
39,00111111,4,140.302,NaN,NA,NA,
39,00111111,5,140.502,NaN,NA,05534.bmp,A149.bmp,
39,00111111,6,141.50300000000001,NaN,NA,NA,
39,00111111,7,142.286,0.781,1,1,
39,01001001,2,142.303,NaN,NA,NA,
40,01001001,3,142.303,NaN,NA,NA,
40,01001001,4,143.30700000000002,NaN,NA,NA,
40,01001001,5,143.50900000000001,NaN,NA,13225.bmp,A257.bmp,
40,01001001,6,144.51,NaN,NA,NA,
40,01001001,7,145.353,0.842,-1,1,
40,10100001,2,145.371,NaN,NA,NA,
41,10100001,3,145.371,NaN,NA,NA,
41,10100001,4,146.373,NaN,NA,NA,
41,10100001,5,146.574,NaN,NA,25621.bmp,A65.bmp,
41,10100001,6,147.07500000000002,NaN,NA,NA,
41,10100001,7,147.939,0.862,-1,1,
41,10111001,2,147.957,NaN,NA,NA,
42,10111001,3,147.957,NaN,NA,NA,
42,10111001,4,148.962,NaN,NA,NA,
42,10111001,5,149.166,NaN,NA,25480.bmp,A57.bmp,
42,10111001,6,150.169,NaN,NA,NA,
42,10111001,7,150.803,0.633,1,1,
42,10100011,2,150.821,NaN,NA,NA,
43,10100011,3,150.821,NaN,NA,NA,
43,10100011,4,151.823,NaN,NA,NA,
43,10100011,5,152.026,NaN,NA,25410.bmp,A51.bmp,
43,10100011,6,152.532,NaN,NA,NA,
43,10100011,7,153.126,0.592,-1,1,
43,01111001,2,153.143,NaN,NA,NA,
44,01111001,3,153.143,NaN,NA,NA,
44,01111001,4,154.145,NaN,NA,NA,
44,01111001,5,154.348,NaN,NA,19183.bmp,A309.bmp,
44,01111001,6,155.349,NaN,NA,NA,
44,01111001,7,155.927,0.577,1,1,
44,01000000,2,155.94400000000002,NaN,NA,NA,
45,01000000,3,155.94400000000002,NaN,NA,NA,
45,01000000,4,156.946,NaN,NA,NA,
45,01000000,5,157.147,NaN,NA,130051.bmp,A237.bmp,
45,01000000,6,157.651,NaN,NA,NA,
45,01000000,7,158.171,0.518,-1,1,
