Orginal File Name:,CT-JTESTPANAS-2018_5_4_1054.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36,IP: undefined,Time:,2018_5_4_1054,Parameter File:,None:FromPsyToolkit,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right] 
trial_type,trial_number,block_num,egg_x_position,egg_y_position,absolute_time_ms,response_time,response,result
main,27,1,-424,262,135.19400000000002,0.059000000000000004,1,1,
main,28,1,-144,4,135.53900000000002,0.059000000000000004,1,1,
main,29,1,-41,134,135.88400000000001,0.056,1,1,
main,30,1,-144,224,136.227,0.061,1,1,
main,31,1,-185,-116,136.568,0.052000000000000005,1,1,
main,32,1,-503,47,136.904,0.048,1,1,
main,33,1,-183,213,137.237,0.053,1,1,
main,34,1,-339,7,137.57500000000002,0.057,1,1,
main,35,1,-274,-180,137.911,0.047,1,1,
main,36,1,-429,70,138.25300000000001,0.057,1,1,
main,37,1,-469,174,138.6,0.064,1,1,
main,38,1,-148,-318,138.94,0.054,1,1,
main,39,1,-323,-61,139.28300000000002,0.059000000000000004,1,1,
main,40,1,-545,-126,139.623,0.057,1,1,
main,41,1,-407,188,139.965,0.057,1,1,
main,42,1,-183,249,140.308,0.061,1,1,
main,43,1,-467,-47,140.653,0.062,1,1,
main,44,1,-486,-110,140.99,0.055,1,1,
main,45,1,-279,313,141.332,0.063,1,1,
main,46,1,-494,173,141.673,0.058,1,1,
main,47,1,-127,27,142.023,0.067,1,1,
main,48,1,-149,-50,142.358,0.053,1,2,
main,49,1,99,-163,142.782,0.014,1,2,
main,50,1,247,57,143.206,0.014,1,2,
main,51,1,7,96,143.64000000000001,0.024,1,2,
main,52,1,680,107,144.056,0.008,1,2,
main,53,1,309,-4,144.474,0.002,1,2,
main,54,1,25,27,144.90200000000002,0.013000000000000001,1,2,
main,55,1,63,64,145.32500000000002,0.013000000000000001,1,2,
main,56,1,490,-64,145.742,0.001,1,2,
main,57,1,379,-110,146.167,0.011,1,1,
main,58,1,-262,152,146.51,0.063,1,1,
main,59,1,-354,-206,146.849,0.054,1,1,
main,60,1,-608,294,147.191,0.06,1,1,
main,61,1,-387,-41,147.53300000000002,0.062,1,1,
main,62,1,-192,18,147.881,0.073,1,2,
main,63,1,263,241,148.308,0.017,1,2,
main,64,1,379,122,148.736,0.016,1,1,
main,65,1,-389,71,149.078,0.061,1,1,
main,66,1,-469,-150,149.413,0.05,1,1,
main,67,1,-256,-113,149.757,0.061,1,1,
main,68,1,-255,114,150.105,0.07,1,1,
main,69,1,-33,-82,150.447,0.057,1,1,
main,70,1,-357,228,150.78300000000002,0.059000000000000004,1,1,
main,71,1,-284,-124,151.12,0.06,1,1,
main,72,1,-254,190,151.465,0.062,1,1,
main,73,1,-336,83,151.806,0.061,1,1,
main,74,1,-72,68,152.151,0.059000000000000004,1,1,
main,75,1,-283,-36,152.492,0.052000000000000005,1,1,
main,76,1,-261,38,152.836,0.061,1,1,
main,77,1,-586,-212,153.178,0.05,1,1,
main,78,1,-279,-153,153.51500000000001,0.052000000000000005,1,1,
main,79,1,-384,83,153.85,0.052000000000000005,1,1,
main,80,1,-325,207,154.197,0.063,1,2,
main,81,1,275,3,154.633,0.024,1,2,
main,82,1,410,20,155.066,0.023,1,2,
main,83,1,169,100,155.491,0.013000000000000001,1,2,
main,84,1,140,229,155.92000000000002,0.015,1,2,
main,85,1,263,12,156.356,0.033,1,2,
main,86,1,293,-157,156.78300000000002,0.012,1,2,
main,87,1,315,-111,157.201,0.017,1,2,
main,88,1,525,60,157.635,0.035,1,2,
main,89,1,212,46,158.064,0.027,1,1,
main,90,1,-283,-59,158.40800000000002,0.058,1,1,
main,91,1,-85,14,158.756,0.07100000000000001,1,2,
main,92,1,250,209,159.185,0.012,1,2,
main,93,1,-80,-82,159.602,0.004,1,1,
main,94,1,-451,-82,159.942,0.06,1,1,
main,95,1,-245,-53,160.284,0.063,1,2,
main,96,1,300,27,160.71200000000002,0.012,1,2,
main,97,1,285,30,161.142,0.022,1,2,
main,98,1,-181,30,161.568,0.012,1,2,
main,99,1,287,-40,161.999,0.021,1,2,
main,100,1,271,-51,162.42600000000002,0.011,1,2,
main,101,1,214,105,162.857,0.029,1,2,
main,102,1,407,330,163.285,0.012,1,2,
main,103,1,273,-1,163.715,0.028,1,2,
main,104,1,167,-13,164.143,0.014,1,2,
main,105,1,346,-14,164.56900000000002,0.013000000000000001,1,2,
main,106,1,391,87,164.996,0.025,1,2,
main,107,1,92,-41,165.425,0.02,1,2,
main,108,1,546,-100,165.853,0.015,1,2,
main,109,1,359,134,166.281,0.024,1,2,
main,110,1,305,-114,166.708,0.016,1,2,
main,111,1,221,-188,167.141,0.017,1,2,
main,112,1,250,-37,167.565,0.017,1,1,
main,113,1,-517,143,167.905,0.061,1,1,
main,114,1,-510,-130,168.245,0.055,1,2,
main,115,1,323,-186,168.669,0.013000000000000001,1,2,
main,116,1,417,-240,169.102,0.021,1,2,
main,117,1,314,-37,169.536,0.024,1,2,
main,118,1,239,48,169.96200000000002,0.016,1,2,
main,119,1,275,155,170.386,0.011,1,2,
main,120,1,274,89,170.811,0.012,1,2,
main,121,1,346,44,171.237,0.016,1,2,
main,122,1,158,37,171.66400000000002,0.011,1,2,
main,123,1,256,65,172.096,0.016,1,2,
main,124,1,-19,95,172.517,0.013000000000000001,1,2,
main,125,1,359,-220,172.947,0.027,1,2,
main,126,1,429,279,173.379,0.019,1,2,
main,127,1,50,-102,173.804,0.016,1,2,
main,128,1,292,111,174.232,0.013000000000000001,1,1,
main,129,1,-287,89,174.565,0.049,1,1,
main,130,1,140,4,174.905,0.054,1,1,
main,131,1,-328,-1,175.248,0.063,1,1,
main,132,1,-392,-18,175.594,0.065,1,1,
main,133,1,-357,149,175.934,0.053,1,1,
main,134,1,-261,95,176.276,0.057,1,1,
main,135,1,-241,183,176.617,0.055,1,1,
main,136,1,-503,-182,176.953,0.049,1,1,
main,137,1,-395,211,177.288,0.05,1,1,
main,138,1,-404,-198,177.633,0.056,1,2,
main,139,1,91,190,178.05100000000002,0.013000000000000001,1,2,
main,140,1,204,-130,178.487,0.029,1,2,
main,141,1,126,-188,178.911,0.011,1,2,
main,142,1,235,-228,179.335,0.01,1,2,
main,143,1,202,-53,179.766,0.016,1,2,
main,144,1,492,-248,180.186,0.001,1,2,
main,145,1,346,-199,180.619,0.017,1,2,
main,146,1,404,-161,181.042,0.013000000000000001,1,2,
main,147,1,172,143,181.46800000000002,0.03,1,2,
main,148,1,408,-289,181.888,0.032,1,2,
main,149,1,366,281,182.322,0.028,1,2,
main,150,1,427,24,182.751,0.013000000000000001,1,2,
main,151,1,180,115,183.184,0.023,1,2,
main,152,1,396,-99,183.606,0.017,1,2,
main,153,1,501,-22,184.02100000000002,0.004,1,2,
main,154,1,417,-106,184.46,0.033,1,1,
main,155,1,-323,51,184.802,0.061,1,1,
main,156,1,-202,176,185.14600000000002,0.069,1,1,
main,157,1,-208,-151,185.484,0.057,1,1,
main,158,1,-324,206,185.83100000000002,0.069,1,1,
main,159,1,-404,-37,186.18,0.07100000000000001,1,1,
main,160,1,-201,-2,186.517,0.054,1,1,
main,161,1,-506,-123,186.867,0.065,1,2,
main,162,1,97,-56,187.294,0.017,1,2,
main,163,1,240,78,187.71,0.009000000000000001,1,2,
main,164,1,252,-263,188.126,0.011,1,2,
main,165,1,371,-29,188.549,0.018000000000000002,1,2,
main,166,1,584,-22,188.977,0.021,1,2,
main,167,1,295,-78,189.415,0.027,1,2,
main,168,1,262,-15,189.839,0.012,1,2,
main,169,1,385,21,190.264,0.032,1,2,
main,170,1,69,201,190.69400000000002,0.024,1,2,
main,171,1,237,-77,191.125,0.031,1,2,
main,172,1,251,141,191.55,0.018000000000000002,1,2,
main,173,1,317,-284,191.979,0.015,1,2,
main,174,1,331,-5,192.4,0.011,1,2,
main,175,1,562,-156,192.829,0.021,1,2,
main,176,1,276,-49,193.248,0.004,1,2,
main,177,1,164,-135,193.678,0.024,1,2,
main,178,1,245,-183,194.115,0.035,1,2,
main,179,1,612,-144,194.548,0.019,1,2,
