Orginal File Name:,CT-JT1-2018_6_29_16_55.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15,IP: ::1,Time:,2018_6_29_16_55,Parameter File:,None:FromPsyToolkit
trial_type,trial_number,block_num,egg_x_position,egg_y_position,absolute_time_sec,response_time_sec,response,result
main,40,4,-355,-336,82.022,0.068,1,2,
main,41,4,365,-213,82.236,0.03,1,2,
main,42,4,261,76,82.449,0.025,1,2,
main,43,4,302,106,82.67,0.032,1,1,
main,44,4,-426,-36,82.996,0.053,1,1,
main,45,4,-314,130,83.322,0.056,1,2,
main,46,4,596,315,83.539,0.024,1,2,
main,47,4,-90,111,83.758,0.025,1,2,
main,48,4,539,-297,83.97800000000001,0.031,1,1,
main,49,4,-295,-95,84.303,0.056,1,1,
main,50,4,-238,-126,84.629,0.055,1,1,
main,51,4,-584,192,84.959,0.062,1,1,
main,52,4,-675,-163,85.285,0.055,1,1,
main,53,4,-675,47,85.611,0.059000000000000004,1,1,
main,54,4,-238,-73,85.94200000000001,0.06,1,1,
main,55,4,-268,380,86.272,0.059000000000000004,1,1,
main,56,4,-290,251,86.593,0.055,1,1,
main,57,4,-384,62,86.919,0.065,1,1,
main,58,4,-107,-77,87.243,0.057,1,1,
main,59,4,-275,75,87.568,0.053,1,2,
main,60,4,273,-122,87.788,0.03,1,2,
main,61,4,328,380,88.004,0.026000000000000002,1,1,
main,62,4,-446,265,88.328,0.05,1,2,
main,63,4,400,160,88.542,0.023,1,2,
main,64,4,472,-81,88.761,0.024,1,2,
main,65,4,457,-309,88.97500000000001,0.022,1,2,
main,66,4,397,157,89.193,0.024,1,1,
main,67,4,-356,262,89.52,0.053,1,1,
main,68,4,-271,-30,89.84400000000001,0.053,1,2,
main,69,4,456,174,90.061,0.025,1,2,
main,70,4,143,-45,90.279,0.023,1,2,
main,71,4,184,133,90.494,0.025,1,2,
main,72,4,211,-164,90.71300000000001,0.028,1,2,
main,73,4,183,12,90.928,0.025,1,2,
main,74,4,210,-227,91.144,0.027,1,2,
main,75,4,433,-37,91.363,0.023,1,2,
main,76,4,126,13,91.58,0.026000000000000002,1,1,
main,77,4,-277,46,91.904,0.056,1,2,
main,78,4,183,-91,92.123,0.025,1,2,
main,79,4,236,-159,92.345,0.03,1,2,
main,80,4,164,380,92.563,0.028,1,2,
main,81,4,199,53,92.78,0.028,1,2,
main,82,4,201,-101,92.997,0.025,1,2,
main,83,4,418,160,93.215,0.024,1,2,
main,84,4,443,-26,93.43900000000001,0.031,1,2,
main,85,4,172,149,93.653,0.021,1,2,
main,86,4,198,109,93.871,0.026000000000000002,1,2,
main,87,4,490,168,94.084,0.022,1,2,
main,88,4,300,81,94.302,0.026000000000000002,1,1,
main,89,4,-395,-105,94.629,0.055,1,1,
main,90,4,-478,154,94.955,0.055,1,1,
main,91,4,-680,10,95.28,0.054,1,1,
main,92,4,-549,52,95.608,0.058,1,1,
