Version:,2,Orginal File Name:,CT-JTCTTEST-T2.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15,IP: ::1,Time:,2018_6_29_19_56,Parameter File:,None:FromPsyToolkit
trial_type,trial_number,block_num,egg_x_position,egg_y_position,absolute_time_sec,response_time_sec,response,result
main,69,5,-443,-119,83.325,0.028,2,1,
main,70,5,397,211,83.654,0.058,2,2,
main,71,5,-307,-109,83.875,0.027,2,1,
main,72,5,329,-13,84.2,0.054,2,2,
main,73,5,-589,-61,84.419,0.028,2,1,
main,74,5,224,-146,84.744,0.061,2,2,
main,75,5,-466,4,84.96300000000001,0.032,2,1,
main,76,5,247,28,85.289,0.06,2,2,
main,77,5,-495,-114,85.506,0.021,2,2,
main,78,5,-240,67,85.72200000000001,0.025,2,2,
main,79,5,-222,120,85.935,0.019,2,1,
main,80,5,361,94,86.261,0.051000000000000004,2,2,
main,81,5,-346,-264,86.48,0.027,2,1,
main,82,5,509,-215,86.806,0.057,2,1,
main,83,5,494,-2,87.133,0.057,2,2,
main,84,5,-318,-155,87.34700000000001,0.019,2,1,
main,85,5,254,40,87.675,0.057,2,2,
main,86,5,-82,28,87.893,0.028,2,1,
main,87,5,-92,-155,88.221,0.057,2,2,
main,88,5,-423,240,88.43900000000001,0.03,2,1,
main,89,5,402,168,88.767,0.057,2,2,
main,90,5,-247,-33,88.987,0.026000000000000002,2,1,
main,91,5,317,-171,89.312,0.052000000000000005,2,2,
main,92,5,-420,89,89.525,0.022,2,2,
main,93,5,-257,-57,89.74,0.023,2,1,
main,94,5,304,198,90.068,0.06,2,2,
main,95,5,-326,-65,90.282,0.021,2,1,
main,96,5,208,174,90.602,0.056,2,2,
main,97,5,-399,-45,90.81700000000001,0.021,2,1,
main,98,5,336,-31,91.138,0.052000000000000005,2,2,
main,99,5,-623,155,91.35600000000001,0.027,2,1,
main,100,5,170,83,91.686,0.062,2,1,
main,101,5,490,89,92.013,0.056,2,2,
main,102,5,-280,149,92.23400000000001,0.03,2,1,
main,103,5,162,125,92.566,0.064,2,2,
main,104,5,-76,-10,92.78,0.021,2,1,
main,105,5,334,-118,93.10600000000001,0.055,2,2,
main,106,5,-333,-55,93.327,0.028,2,1,
main,107,5,264,61,93.651,0.054,2,2,
main,108,5,-380,-1,93.87,0.028,2,2,
main,109,5,-275,-274,94.089,0.029,2,1,
main,110,5,511,66,94.42,0.06,2,2,
main,111,5,-513,-20,94.639,0.028,2,1,
main,112,5,385,-113,94.964,0.055,2,2,
main,113,5,-262,-13,95.181,0.028,2,1,
main,114,5,584,-53,95.508,0.059000000000000004,2,2,
main,115,5,-444,259,95.727,0.032,2,2,
main,116,5,-258,136,95.941,0.024,2,1,
main,117,5,175,2,96.265,0.061,2,2,
main,118,5,-129,243,96.485,0.033,2,1,
main,119,5,512,-219,96.806,0.055,2,2,
main,120,5,-394,-6,97.022,0.027,2,1,
main,121,5,446,-146,97.354,0.069,2,2,
main,122,5,-435,60,97.57000000000001,0.026000000000000002,2,1,
main,123,5,246,-122,97.9,0.065,2,2,
main,124,5,-225,-77,98.11200000000001,0.021,2,2,
main,125,5,-399,57,98.33,0.028,2,2,
main,126,5,-504,-249,98.547,0.027,2,1,
main,127,5,155,131,98.871,0.062,2,2,
main,128,5,-568,17,99.08500000000001,0.027,2,1,
main,129,5,592,60,99.415,0.057,2,2,
main,130,5,-222,-199,99.638,0.033,2,1,
main,131,5,442,41,99.958,0.059000000000000004,2,2,
main,132,5,-263,-20,100.172,0.026000000000000002,2,1,
main,133,5,390,27,100.499,0.069,2,2,
main,134,5,-275,-126,100.714,0.032,2,1,
main,135,5,479,122,101.034,0.06,2,2,
main,136,5,-474,74,101.252,0.032,2,1,
main,137,5,365,-233,101.578,0.058,2,2,
main,138,5,-177,-152,101.798,0.031,2,1,
main,139,5,456,-43,102.123,0.057,2,2,
main,140,5,-313,319,102.339,0.029,2,2,
main,141,5,-152,-17,102.554,0.028,2,1,
main,142,5,559,160,102.885,0.07100000000000001,2,2,
main,143,5,-399,29,103.096,0.023,2,1,
main,144,5,210,1,103.421,0.06,2,2,
main,145,5,-434,36,103.633,0.02,2,1,
main,146,5,409,135,103.955,0.061,2,2,
main,147,5,-300,21,104.172,0.027,2,1,
main,148,5,501,-29,104.501,0.06,2,2,
main,149,5,-282,178,104.717,0.026000000000000002,2,1,
main,150,5,127,-128,105.042,0.057,2,2,
main,151,5,-400,43,105.262,0.033,2,1,
main,152,5,246,71,105.584,0.055,2,2,
main,153,5,-273,116,105.804,0.031,2,1,
main,154,5,-31,150,106.131,0.056,2,2,
main,155,5,29,-34,106.346,0.026000000000000002,2,1,
main,156,5,430,-375,106.669,0.059000000000000004,2,2,
main,157,5,-111,63,106.89,0.032,2,1,
