Orginal File Name:,DP-JTESTDP-2018_6_27_20_47.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15,IP: ::1,Time:,2018_6_27_20_47,Parameter File:,None:FromPsyToolkit,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right] 
trial_number,trial_type,event_code,absolute_time,response_time,response,result
25,01110100,8,97.946,NaN,NA,NA,
26,00110100,2,100.967,NaN,NA,NA,
26,00110100,3,100.967,NaN,NA,NA,
26,00110100,4,101.96900000000001,NaN,NA,NA,
26,00110100,5,102.171,NaN,NA,05535.bmp,A15.bmp,
26,00110100,6,102.672,NaN,NA,NA,
26,00110100,7,103.96300000000001,1.29,1,2,
26,00110100,8,103.96300000000001,NaN,NA,NA,
27,10010100,2,106.98400000000001,NaN,NA,NA,
27,10010100,3,106.98400000000001,NaN,NA,NA,
27,10010100,4,107.986,NaN,NA,NA,
27,10010100,5,108.188,NaN,NA,27472.bmp,A85.bmp,
27,10010100,6,108.69,NaN,NA,NA,
27,10010100,7,109.752,1.061,1,1,
28,01000000,2,109.766,NaN,NA,NA,
28,01000000,3,109.766,NaN,NA,NA,
28,01000000,4,110.768,NaN,NA,NA,
28,01000000,5,110.96900000000001,NaN,NA,16021.bmp,A27.bmp,
28,01000000,6,111.47,NaN,NA,NA,
28,01000000,7,112.84,1.368,-1,1,
29,01100000,2,112.85300000000001,NaN,NA,NA,
29,01100000,3,112.85300000000001,NaN,NA,NA,
29,01100000,4,113.855,NaN,NA,NA,
29,01100000,5,114.057,NaN,NA,19911.bmp,A329.bmp,
29,01100000,6,114.559,NaN,NA,NA,
29,01100000,7,115.757,1.197,-1,2,
29,01100000,8,115.757,NaN,NA,NA,
30,00111110,2,118.778,NaN,NA,NA,
30,00111110,3,118.778,NaN,NA,NA,
30,00111110,4,119.779,NaN,NA,NA,
30,00111110,5,119.98100000000001,NaN,NA,07186.bmp,A193.bmp,
30,00111110,6,120.983,NaN,NA,NA,
30,00111110,7,121.917,0.932,1,1,
31,00010101,2,121.931,NaN,NA,NA,
31,00010101,3,121.931,NaN,NA,NA,
31,00010101,4,122.932,NaN,NA,NA,
31,00010101,5,123.134,NaN,NA,05471.bmp,A145.bmp,
31,00010101,6,123.636,NaN,NA,NA,
31,00010101,7,125.016,1.379,1,1,
32,00100000,2,125.03,NaN,NA,NA,
32,00100000,3,125.03,NaN,NA,NA,
32,00100000,4,126.032,NaN,NA,NA,
32,00100000,5,126.23400000000001,NaN,NA,05510.bmp,A147.bmp,
32,00100000,6,126.735,NaN,NA,NA,
32,00100000,7,127.96600000000001,1.228,-1,2,
32,00100000,8,127.96600000000001,NaN,NA,NA,
33,10011010,2,130.985,NaN,NA,NA,
33,10011010,3,130.985,NaN,NA,NA,
